Date,Plant_ID,Plant_Name,Machine_ID,Machine_Type,Product_Line,Shift,Production_Units,Production_Value,Target_Production,Availability,Performance,Quality_Rate,OEE
27-01-2023,P04,Bengaluru,M013,Grinder,Suspension,Night,1106,420280,1129,89,85,96,64.09
27-01-2023,P04,Bengaluru,M014,CNC,Transmission,Night,931,370538,1031,84,83,98,59.35
27-01-2023,P04,Bengaluru,M015,Lathe,Transmission,Morning,1005,352755,1055,96,88,96,72.12
27-01-2023,P04,Bengaluru,M016,Lathe,Transmission,Night,912,342912,937,80,88,98,61.46
27-01-2023,P04,Bengaluru,M017,Lathe,Chassis,Morning,820,319800,803,98,94,98,78.77
27-01-2023,P04,Bengaluru,M018,Milling,Chassis,Night,823,341545,867,79,87,96,63.07
27-01-2023,P04,Bengaluru,M019,Press,Transmission,Night,1114,444486,1162,90,79,97,66.78
27-01-2023,P04,Bengaluru,M020,CNC,Brakes,Night,988,350740,961,76,88,97,56.06
27-01-2023,P04,Bengaluru,M021,Drill,Transmission,Night,1011,407433,1121,77,91,97,62.37
27-01-2023,P04,Bengaluru,M022,Lathe,Suspension,Night,1163,432636,1157,81,83,95,55.73
27-01-2023,P04,Bengaluru,M023,Press,Brakes,Night,951,350919,940,83,90,96,69.26
27-01-2023,P04,Bengaluru,M024,Press,Chassis,Night,703,254486,816,80,91,98,66.79
27-01-2023,P04,Bengaluru,M025,Lathe,Suspension,Morning,1064,391552,1068,87,87,99,66.75
27-01-2023,P05,Delhi,M001,Grinder,Suspension,Night,903,317856,868,75,88,95,62.3
27-01-2023,P05,Delhi,M002,Drill,Suspension,Night,1163,446592,1164,86,90,98,71.15
27-01-2023,P05,Delhi,M003,Lathe,Chassis,Night,980,375340,1131,86,91,97,69.01
27-01-2023,P05,Delhi,M004,Drill,Engine Parts,Night,898,354710,1000,82,83,96,55.5
27-01-2023,P05,Delhi,M005,Drill,Brakes,Night,1070,411950,1024,81,85,97,56.63
27-01-2023,P05,Delhi,M006,Milling,Brakes,Morning,1057,374178,1020,90,89,96,73.67
27-01-2023,P05,Delhi,M007,Grinder,Chassis,Night,968,405592,1062,84,81,98,55.3
27-01-2023,P05,Delhi,M008,Grinder,Transmission,Night,996,368520,1117,83,92,97,71.9
27-01-2023,P05,Delhi,M009,CNC,Transmission,Night,979,354398,1006,77,86,98,60.74
27-01-2023,P05,Delhi,M010,Grinder,Chassis,Night,883,340838,844,87,90,95,62.86
27-01-2023,P05,Delhi,M011,Milling,Exhaust,Morning,758,273638,859,85,94,96,76.05
27-01-2023,P05,Delhi,M012,CNC,Brakes,Morning,818,315748,801,91,96,96,78.87
27-01-2023,P05,Delhi,M013,Milling,Transmission,Morning,1147,480593,1101,97,89,99,80.93
27-01-2023,P05,Delhi,M014,Milling,Brakes,Morning,750,273000,876,96,86,97,73.09
27-01-2023,P05,Delhi,M015,Grinder,Engine Parts,Morning,803,334851,902,91,96,96,84.26
27-01-2023,P05,Delhi,M016,CNC,Chassis,Morning,1040,370240,1057,85,95,96,74.47
27-01-2023,P05,Delhi,M017,Grinder,Transmission,Night,855,353115,916,89,81,95,64.76
27-01-2023,P05,Delhi,M018,Lathe,Chassis,Night,1009,418735,1104,75,90,98,58.77
27-01-2023,P05,Delhi,M019,Press,Chassis,Morning,1110,415140,1083,96,85,97,76.93
27-01-2023,P05,Delhi,M020,Welder,Engine Parts,Morning,999,380619,1089,93,96,96,70.74
27-01-2023,P05,Delhi,M021,Welder,Chassis,Night,858,308022,989,80,85,98,60.5
27-01-2023,P05,Delhi,M022,Milling,Suspension,Morning,1050,423150,1059,92,92,96,77.17
27-01-2023,P05,Delhi,M023,Grinder,Chassis,Night,982,355484,998,78,82,97,56.4
27-01-2023,P05,Delhi,M024,Press,Suspension,Morning,1015,385700,1107,92,91,98,71.24
27-01-2023,P05,Delhi,M025,Lathe,Engine Parts,Morning,1201,447973,1170,86,91,98,68.45
28-01-2023,P01,Pune,M001,Milling,Brakes,Morning,876,326748,914,97,93,99,79.87
28-01-2023,P01,Pune,M002,Drill,Exhaust,Morning,1086,412680,1109,86,96,97,79.12
28-01-2023,P01,Pune,M003,Welder,Engine Parts,Night,885,330990,889,83,90,96,60.12
28-01-2023,P01,Pune,M004,Lathe,Engine Parts,Night,926,334286,959,87,86,98,66.36
28-01-2023,P01,Pune,M005,Milling,Exhaust,Morning,579,237969,965,98,87,98,53.55
28-01-2023,P01,Pune,M006,Welder,Engine Parts,Night,942,373032,1057,81,90,98,69.21
28-01-2023,P01,Pune,M007,Welder,Suspension,Night,759,274758,862,77,83,95,49.46
28-01-2023,P01,Pune,M008,Press,Suspension,Night,816,293760,911,77,89,98,57.77
28-01-2023,P01,Pune,M009,Welder,Brakes,Night,1107,419553,1081,77,81,98,53.42
28-01-2023,P01,Pune,M010,Press,Transmission,Night,851,331890,831,82,79,96,57.87
28-01-2023,P01,Pune,M011,Welder,Suspension,Morning,849,331110,889,90,89,96,66.85
28-01-2023,P01,Pune,M012,Press,Suspension,Night,917,322784,928,81,91,97,67.86
28-01-2023,P01,Pune,M013,Milling,Engine Parts,Morning,923,327665,958,92,89,96,70.51
28-01-2023,P01,Pune,M014,Welder,Chassis,Morning,811,302503,894,91,90,96,64.46
28-01-2023,P01,Pune,M015,Welder,Engine Parts,Morning,905,333040,886,85,89,99,65.2
28-01-2023,P01,Pune,M016,Press,Engine Parts,Night,1090,395670,1082,79,83,97,57.8
28-01-2023,P01,Pune,M017,CNC,Exhaust,Morning,853,309639,897,92,91,99,73.72
28-01-2023,P01,Pune,M018,CNC,Chassis,Night,1047,369591,1042,88,85,98,59.9
28-01-2023,P01,Pune,M019,Drill,Engine Parts,Night,793,277550,895,77,83,98,53.61
28-01-2023,P01,Pune,M020,Lathe,Brakes,Morning,880,355520,1029,97,85,99,77.87
28-01-2023,P01,Pune,M021,Press,Suspension,Morning,967,367460,1050,94,93,96,77.5
28-01-2023,P01,Pune,M022,Grinder,Suspension,Morning,982,357448,949,85,89,98,69.18
28-01-2023,P01,Pune,M023,Press,Brakes,Morning,761,309727,893,98,89,98,72.63
28-01-2023,P01,Pune,M024,CNC,Chassis,Night,1030,366680,995,85,84,96,61.66
28-01-2023,P01,Pune,M025,Drill,Brakes,Night,1198,452844,1198,88,79,98,61.11
28-01-2023,P02,Chennai,M001,Milling,Brakes,Morning,818,305114,922,92,90,99,76.01
28-01-2023,P02,Chennai,M002,Welder,Engine Parts,Morning,1017,370188,1122,93,95,99,82.2
28-01-2023,P02,Chennai,M003,Press,Transmission,Morning,862,319802,991,93,89,97,69.07
28-01-2023,P02,Chennai,M004,Milling,Brakes,Night,1052,371356,1167,87,85,97,60.42
28-01-2023,P02,Chennai,M005,CNC,Engine Parts,Night,848,315456,989,84,82,95,58.66
28-01-2023,P02,Chennai,M006,Press,Brakes,Night,1091,422217,1072,84,81,98,67.11
28-01-2023,P02,Chennai,M007,Drill,Transmission,Morning,835,340680,923,91,90,97,76.83
28-01-2023,P02,Chennai,M008,Lathe,Engine Parts,Morning,973,379470,1028,86,94,98,70.25
28-01-2023,P02,Chennai,M009,Grinder,Suspension,Night,835,316465,853,85,85,98,64.73
28-01-2023,P02,Chennai,M010,Welder,Engine Parts,Morning,1064,439432,1019,95,91,97,77.6
28-01-2023,P02,Chennai,M011,Press,Chassis,Morning,1013,390005,1002,87,92,98,74.97
28-01-2023,P02,Chennai,M012,CNC,Exhaust,Morning,1133,415811,1152,89,85,99,66.99
28-01-2023,P02,Chennai,M013,Grinder,Chassis,Morning,847,315084,989,86,97,98,69.12
28-01-2023,P02,Chennai,M014,Drill,Engine Parts,Night,835,329825,816,89,82,96,61.38
28-01-2023,P02,Chennai,M015,Lathe,Brakes,Morning,933,390927,1005,95,92,96,81.27
28-01-2023,P02,Chennai,M016,Press,Chassis,Night,1023,374418,1052,89,84,96,68.59
28-01-2023,P02,Chennai,M017,CNC,Suspension,Night,1020,424320,1184,75,92,96,58.2
28-01-2023,P02,Chennai,M018,Milling,Brakes,Morning,1089,415998,1196,87,89,98,65.04
28-01-2023,P02,Chennai,M019,Milling,Brakes,Night,1200,450000,1145,80,85,96,61.34
28-01-2023,P02,Chennai,M020,Drill,Chassis,Morning,955,369585,1057,87,97,96,71.96
28-01-2023,P02,Chennai,M021,Lathe,Suspension,Morning,1032,382872,1145,97,87,97,82.5
28-01-2023,P02,Chennai,M022,Press,Brakes,Morning,998,375248,1152,86,90,97,70.5
28-01-2023,P02,Chennai,M023,Press,Suspension,Morning,783,317115,871,90,92,98,66.84
28-01-2023,P02,Chennai,M024,Grinder,Engine Parts,Night,1220,502640,1163,90,89,96,63.51
28-01-2023,P02,Chennai,M025,Drill,Transmission,Morning,805,303485,879,95,86,99,69.93
28-01-2023,P03,Gurgaon,M001,Press,Engine Parts,Morning,1064,422408,1182,85,85,96,61.78
28-01-2023,P03,Gurgaon,M002,Press,Transmission,Night,1196,454480,1186,80,86,98,59.98
28-01-2023,P03,Gurgaon,M003,Welder,Suspension,Night,709,272256,802,90,92,98,70.44
28-01-2023,P03,Gurgaon,M004,Grinder,Engine Parts,Morning,899,373984,987,90,88,96,65.28
28-01-2023,P03,Gurgaon,M005,Welder,Engine Parts,Night,1005,387930,1097,77,78,97,52.7
28-01-2023,P03,Gurgaon,M006,Drill,Chassis,Night,776,320488,811,85,84,96,62.87
28-01-2023,P03,Gurgaon,M007,Press,Chassis,Morning,988,374452,1092,95,96,97,81.91
28-01-2023,P03,Gurgaon,M008,Milling,Brakes,Night,1043,420329,996,86,81,96,56.47
28-01-2023,P03,Gurgaon,M009,Drill,Exhaust,Morning,1025,366950,990,94,94,97,75.75
28-01-2023,P03,Gurgaon,M010,Grinder,Transmission,Morning,729,263169,840,86,86,98,66.06
28-01-2023,P03,Gurgaon,M011,Drill,Brakes,Night,830,347770,889,79,91,97,70.49
28-01-2023,P03,Gurgaon,M012,Press,Exhaust,Night,858,344916,837,84,89,97,66.49
28-01-2023,P03,Gurgaon,M013,Lathe,Transmission,Morning,840,297360,882,95,86,97,71.63
28-01-2023,P03,Gurgaon,M014,Grinder,Transmission,Morning,1092,396396,1103,89,95,97,77.07
28-01-2023,P03,Gurgaon,M015,Lathe,Transmission,Night,717,281064,802,86,89,95,66.36
28-01-2023,P03,Gurgaon,M016,Lathe,Chassis,Morning,975,397800,1134,95,91,96,83.97
28-01-2023,P03,Gurgaon,M017,Grinder,Engine Parts,Night,1147,414067,1121,88,83,95,61.96
28-01-2023,P03,Gurgaon,M018,Press,Transmission,Morning,811,285472,825,87,97,99,79.62
28-01-2023,P03,Gurgaon,M019,Grinder,Exhaust,Night,1112,454808,1188,84,86,95,62.19
28-01-2023,P03,Gurgaon,M020,Welder,Exhaust,Night,758,294104,814,80,79,97,50.91
28-01-2023,P03,Gurgaon,M021,Drill,Exhaust,Morning,862,311182,889,95,93,96,70.67
28-01-2023,P03,Gurgaon,M022,Welder,Exhaust,Night,1058,397808,1018,79,85,96,61.16
28-01-2023,P03,Gurgaon,M023,Welder,Suspension,Night,942,335352,1057,75,85,98,52.86
28-01-2023,P03,Gurgaon,M024,Drill,Suspension,Night,786,275100,803,85,85,96,60.37
28-01-2023,P03,Gurgaon,M025,Press,Brakes,Morning,934,373600,1003,88,86,97,60.3
28-01-2023,P04,Bengaluru,M001,Press,Exhaust,Night,1049,375542,1093,89,82,97,66.78
28-01-2023,P04,Bengaluru,M002,CNC,Suspension,Night,1012,378488,1060,89,79,95,57.54
28-01-2023,P04,Bengaluru,M003,Welder,Brakes,Night,725,296525,828,89,91,95,72.65
28-01-2023,P04,Bengaluru,M004,Press,Exhaust,Morning,1242,479412,1194,85,88,99,66
28-01-2023,P04,Bengaluru,M005,Welder,Chassis,Night,1104,430560,1135,80,87,97,63.65
28-01-2023,P04,Bengaluru,M006,CNC,Chassis,Night,841,352379,960,90,92,95,79.92
28-01-2023,P04,Bengaluru,M007,Drill,Exhaust,Night,899,368590,886,87,90,96,67.41
28-01-2023,P04,Bengaluru,M008,Lathe,Exhaust,Night,835,325650,917,90,88,97,64.77
28-01-2023,P04,Bengaluru,M009,Drill,Engine Parts,Morning,1104,415104,1109,87,93,99,75.25
28-01-2023,P04,Bengaluru,M010,Welder,Exhaust,Night,1067,420398,1131,75,82,95,55.66
28-01-2023,P04,Bengaluru,M011,Milling,Engine Parts,Morning,873,330867,866,98,86,97,71.37
28-01-2023,P04,Bengaluru,M012,Grinder,Brakes,Morning,1022,362810,1124,90,95,97,73.95
28-01-2023,P04,Bengaluru,M013,Grinder,Exhaust,Morning,1126,470668,1116,95,97,98,83.51
28-01-2023,P04,Bengaluru,M014,CNC,Suspension,Morning,992,380928,946,94,90,97,68.83
28-01-2023,P04,Bengaluru,M015,Lathe,Brakes,Night,808,306232,810,90,84,95,61.8
28-01-2023,P04,Bengaluru,M016,Lathe,Transmission,Morning,835,321475,805,97,97,96,78.51
28-01-2023,P04,Bengaluru,M017,Lathe,Transmission,Night,1044,416556,1112,83,88,95,57
28-01-2023,P04,Bengaluru,M018,Milling,Engine Parts,Morning,922,366034,1014,89,92,99,75.23
28-01-2023,P04,Bengaluru,M019,Press,Exhaust,Morning,766,278058,866,94,90,96,74.09
28-01-2023,P04,Bengaluru,M020,CNC,Exhaust,Morning,706,288754,818,95,96,98,77.71
28-01-2023,P04,Bengaluru,M021,Drill,Transmission,Morning,1119,398364,1091,85,89,99,61.79
28-01-2023,P04,Bengaluru,M022,Lathe,Engine Parts,Morning,766,271164,863,98,96,96,76.06
28-01-2023,P04,Bengaluru,M023,Press,Suspension,Night,1195,500705,1189,85,83,95,58.23
28-01-2023,P04,Bengaluru,M024,Press,Brakes,Night,881,309231,944,89,90,95,74.88
28-01-2023,P04,Bengaluru,M025,Lathe,Chassis,Morning,1099,398937,1132,85,88,97,59.13
28-01-2023,P05,Delhi,M001,Grinder,Engine Parts,Night,1040,375440,1038,77,81,95,54.88
28-01-2023,P05,Delhi,M002,Drill,Suspension,Night,1178,480624,1169,80,92,96,63.83
28-01-2023,P05,Delhi,M003,Lathe,Chassis,Morning,1056,432960,1131,91,91,98,78.41
28-01-2023,P05,Delhi,M004,Drill,Chassis,Night,853,335229,852,82,89,96,60.45
28-01-2023,P05,Delhi,M005,Drill,Exhaust,Night,858,305448,842,83,90,98,64.96
28-01-2023,P05,Delhi,M006,Milling,Suspension,Morning,858,352638,879,97,85,96,73.07
28-01-2023,P05,Delhi,M007,Grinder,Chassis,Night,801,324405,879,89,90,97,66.18
28-01-2023,P05,Delhi,M008,Grinder,Brakes,Night,804,303912,927,76,83,96,56.69
28-01-2023,P05,Delhi,M009,CNC,Exhaust,Night,1099,398937,1128,89,85,96,58.32
28-01-2023,P05,Delhi,M010,Grinder,Engine Parts,Morning,829,341548,852,90,93,98,76.9
28-01-2023,P05,Delhi,M011,Milling,Transmission,Morning,752,309824,821,91,96,96,84
28-01-2023,P05,Delhi,M012,CNC,Transmission,Morning,789,320334,840,92,89,96,69.87
28-01-2023,P05,Delhi,M013,Milling,Suspension,Night,780,274560,819,82,78,95,57.98
28-01-2023,P05,Delhi,M014,Milling,Suspension,Night,868,335916,879,90,82,96,67.45
28-01-2023,P05,Delhi,M015,Grinder,Engine Parts,Night,969,406980,1039,83,85,96,59.02
28-01-2023,P05,Delhi,M016,CNC,Brakes,Night,830,297970,948,80,83,97,55.05
28-01-2023,P05,Delhi,M017,Grinder,Transmission,Morning,849,349788,919,97,97,99,77.19
28-01-2023,P05,Delhi,M018,Lathe,Engine Parts,Night,812,330484,894,84,90,97,62.48
28-01-2023,P05,Delhi,M019,Press,Transmission,Morning,925,345950,931,98,85,97,75.66
28-01-2023,P05,Delhi,M020,Welder,Suspension,Morning,933,348009,928,89,85,96,67.44
28-01-2023,P05,Delhi,M021,Welder,Chassis,Night,875,360500,939,90,83,96,66.47
28-01-2023,P05,Delhi,M022,Milling,Brakes,Night,1116,421848,1127,85,84,96,59.09
28-01-2023,P05,Delhi,M023,Grinder,Brakes,Night,927,380070,1087,89,80,98,66.93
28-01-2023,P05,Delhi,M024,Press,Brakes,Night,1141,406196,1163,87,78,96,58.2
28-01-2023,P05,Delhi,M025,Lathe,Engine Parts,Night,908,378636,1060,80,88,96,60.03
29-01-2023,P01,Pune,M001,Milling,Suspension,Night,862,357730,966,82,87,97,66.1
29-01-2023,P01,Pune,M002,Drill,Chassis,Night,1061,376655,1021,87,86,97,71.96
29-01-2023,P01,Pune,M003,Welder,Suspension,Night,1008,419328,1095,78,83,98,58.12
29-01-2023,P01,Pune,M004,Lathe,Transmission,Morning,865,345135,929,85,97,98,64.42
29-01-2023,P01,Pune,M005,Milling,Transmission,Morning,598,240994,998,94,86,99,51.44
29-01-2023,P01,Pune,M006,Welder,Engine Parts,Morning,1030,369770,1018,88,96,99,72.7
29-01-2023,P01,Pune,M007,Welder,Brakes,Morning,1058,442244,1119,94,87,98,77.91
29-01-2023,P01,Pune,M008,Press,Brakes,Morning,840,304920,898,89,91,98,77.88
29-01-2023,P01,Pune,M009,Welder,Engine Parts,Morning,888,356088,989,86,94,96,77.98
29-01-2023,P01,Pune,M010,Press,Transmission,Night,911,366222,900,86,90,95,64.64
29-01-2023,P01,Pune,M011,Welder,Brakes,Night,1083,379050,1144,90,79,97,61.43
29-01-2023,P01,Pune,M012,Press,Brakes,Night,1013,414317,991,85,86,95,61.66
29-01-2023,P01,Pune,M013,Milling,Engine Parts,Night,1168,422816,1117,81,90,96,67.75
29-01-2023,P01,Pune,M014,Welder,Exhaust,Night,915,372405,1004,90,90,96,67.78
29-01-2023,P01,Pune,M015,Welder,Engine Parts,Night,1095,398580,1082,77,78,97,53.05
29-01-2023,P01,Pune,M016,Press,Brakes,Night,929,336298,1042,89,86,98,65.52
29-01-2023,P01,Pune,M017,CNC,Chassis,Morning,797,322785,882,92,89,98,72.54
29-01-2023,P01,Pune,M018,CNC,Engine Parts,Morning,969,406980,1018,97,89,99,80.15
29-01-2023,P01,Pune,M019,Drill,Brakes,Night,812,336168,877,83,90,97,57.94
29-01-2023,P01,Pune,M020,Lathe,Suspension,Night,964,399096,922,87,90,98,75.26
29-01-2023,P01,Pune,M021,Press,Exhaust,Night,957,385671,1056,76,91,97,60.14
29-01-2023,P01,Pune,M022,Grinder,Chassis,Night,821,311980,889,90,86,95,66.73
29-01-2023,P01,Pune,M023,Press,Exhaust,Morning,915,351360,1047,87,88,98,67.59
29-01-2023,P01,Pune,M024,CNC,Engine Parts,Night,776,310400,805,81,85,97,62.28
29-01-2023,P01,Pune,M025,Drill,Suspension,Night,1108,444308,1117,89,80,95,58.82
29-01-2023,P02,Chennai,M001,Milling,Chassis,Morning,996,371508,1120,93,87,99,72.63
29-01-2023,P02,Chennai,M002,Welder,Suspension,Night,799,323595,882,83,92,95,62.46
29-01-2023,P02,Chennai,M003,Press,Exhaust,Night,1007,390716,983,78,78,97,57.26
29-01-2023,P02,Chennai,M004,Milling,Transmission,Morning,710,295360,807,88,96,97,71.66
29-01-2023,P02,Chennai,M005,CNC,Exhaust,Morning,991,366670,951,97,95,96,83.29
29-01-2023,P02,Chennai,M006,Press,Exhaust,Morning,1156,439280,1159,98,91,97,78.77
29-01-2023,P02,Chennai,M007,Drill,Transmission,Morning,1198,419300,1198,86,90,98,66.35
29-01-2023,P02,Chennai,M008,Lathe,Chassis,Morning,839,297845,892,94,92,97,80.34
29-01-2023,P02,Chennai,M009,Grinder,Engine Parts,Night,977,387869,1057,76,78,95,49.08
29-01-2023,P02,Chennai,M010,Welder,Brakes,Morning,1024,393216,1097,86,88,97,64.48
29-01-2023,P02,Chennai,M011,Press,Engine Parts,Night,1214,477102,1161,82,80,98,58.64
29-01-2023,P02,Chennai,M012,CNC,Exhaust,Night,812,338604,939,88,84,98,63.85
29-01-2023,P02,Chennai,M013,Grinder,Suspension,Night,776,280912,806,82,86,97,61.47
29-01-2023,P02,Chennai,M014,Drill,Exhaust,Night,762,311658,861,87,82,97,70.54
29-01-2023,P02,Chennai,M015,Lathe,Chassis,Night,1071,388773,1194,85,85,97,61.86
29-01-2023,P02,Chennai,M016,Press,Transmission,Night,1000,411000,1158,80,81,96,51.19
29-01-2023,P02,Chennai,M017,CNC,Exhaust,Night,1115,442655,1118,89,82,97,59.52
29-01-2023,P02,Chennai,M018,Milling,Suspension,Night,995,410935,1033,88,86,98,60.37
29-01-2023,P02,Chennai,M019,Milling,Exhaust,Night,911,378065,1072,79,80,98,61.16
29-01-2023,P02,Chennai,M020,Drill,Engine Parts,Night,1003,362083,1021,90,91,96,74.28
29-01-2023,P02,Chennai,M021,Lathe,Engine Parts,Night,1068,400500,1180,77,83,95,52.65
29-01-2023,P02,Chennai,M022,Press,Exhaust,Morning,817,329251,860,89,86,97,62.79
29-01-2023,P02,Chennai,M023,Press,Transmission,Night,1170,457470,1115,79,92,96,62.06
29-01-2023,P02,Chennai,M024,Grinder,Transmission,Morning,902,334642,958,98,93,99,78.32
29-01-2023,P02,Chennai,M025,Drill,Brakes,Night,830,293820,813,85,86,95,63.96
29-01-2023,P03,Gurgaon,M001,Press,Engine Parts,Morning,1040,390000,1004,86,85,97,67.22
29-01-2023,P03,Gurgaon,M002,Press,Exhaust,Night,1064,426664,1133,80,80,95,55.5
29-01-2023,P03,Gurgaon,M003,Welder,Transmission,Morning,886,327820,882,87,95,99,72.49
29-01-2023,P03,Gurgaon,M004,Grinder,Chassis,Morning,886,351742,1009,98,94,97,86.63
29-01-2023,P03,Gurgaon,M005,Welder,Suspension,Night,972,386856,1033,84,88,95,58.42
29-01-2023,P03,Gurgaon,M006,Drill,Exhaust,Morning,729,255879,834,98,90,99,80.42
29-01-2023,P03,Gurgaon,M007,Press,Engine Parts,Morning,1111,407737,1122,96,95,96,78.54
29-01-2023,P03,Gurgaon,M008,Milling,Transmission,Morning,1088,405824,1166,93,90,98,79.88
29-01-2023,P03,Gurgaon,M009,Drill,Brakes,Morning,1203,494433,1150,98,86,98,71.07
29-01-2023,P03,Gurgaon,M010,Grinder,Engine Parts,Morning,819,334152,865,97,86,99,73.2
29-01-2023,P03,Gurgaon,M011,Drill,Exhaust,Night,1192,494680,1194,76,79,95,46.5
29-01-2023,P03,Gurgaon,M012,Press,Engine Parts,Morning,980,360640,941,98,93,96,78.99
29-01-2023,P03,Gurgaon,M013,Lathe,Chassis,Morning,946,386914,936,95,97,97,79.85
29-01-2023,P03,Gurgaon,M014,Grinder,Engine Parts,Night,1063,399688,1035,81,92,98,63.59
29-01-2023,P03,Gurgaon,M015,Lathe,Engine Parts,Night,765,289935,864,77,78,98,59.9
29-01-2023,P03,Gurgaon,M016,Lathe,Exhaust,Morning,874,332994,943,90,95,98,75.69
29-01-2023,P03,Gurgaon,M017,Grinder,Exhaust,Morning,966,394128,1009,90,89,97,75.4
29-01-2023,P03,Gurgaon,M018,Press,Brakes,Morning,738,290772,854,94,92,99,73.51
29-01-2023,P03,Gurgaon,M019,Grinder,Brakes,Night,1038,430770,1059,82,83,98,62.61
29-01-2023,P03,Gurgaon,M020,Welder,Suspension,Morning,842,319118,861,93,93,99,76.15
29-01-2023,P03,Gurgaon,M021,Drill,Chassis,Morning,859,357344,919,95,85,99,73.93
29-01-2023,P03,Gurgaon,M022,Welder,Transmission,Night,1160,444280,1110,90,81,95,63.93
29-01-2023,P03,Gurgaon,M023,Welder,Engine Parts,Morning,1058,377706,1041,97,97,98,76.22
29-01-2023,P03,Gurgaon,M024,Drill,Brakes,Night,1019,391296,1001,86,85,95,67.36
29-01-2023,P03,Gurgaon,M025,Press,Exhaust,Morning,977,345858,1015,88,97,98,67.82
29-01-2023,P04,Bengaluru,M001,Press,Chassis,Night,786,286890,863,86,84,96,58.65
29-01-2023,P04,Bengaluru,M002,CNC,Exhaust,Night,745,273415,808,81,78,95,54.14
29-01-2023,P04,Bengaluru,M003,Welder,Exhaust,Night,696,244296,819,86,86,98,72.69
29-01-2023,P04,Bengaluru,M004,Press,Suspension,Morning,881,352400,1005,92,88,98,69.03
29-01-2023,P04,Bengaluru,M005,Welder,Transmission,Morning,1019,425942,993,93,93,97,73.08
29-01-2023,P04,Bengaluru,M006,CNC,Chassis,Morning,916,327928,958,87,92,98,77.57
29-01-2023,P04,Bengaluru,M007,Drill,Brakes,Night,835,299765,914,82,80,98,56.16
29-01-2023,P04,Bengaluru,M008,Lathe,Engine Parts,Morning,867,303450,859,95,97,97,86.51
29-01-2023,P04,Bengaluru,M009,Drill,Engine Parts,Night,1200,471600,1198,84,91,95,69.35
29-01-2023,P04,Bengaluru,M010,Welder,Brakes,Morning,969,358530,1044,85,95,96,68.6
29-01-2023,P04,Bengaluru,M011,Milling,Exhaust,Morning,789,329802,819,94,92,98,78.13
29-01-2023,P04,Bengaluru,M012,Grinder,Chassis,Night,970,398670,1132,78,80,96,53.18
29-01-2023,P04,Bengaluru,M013,Grinder,Transmission,Night,1083,435366,1169,87,82,95,60.71
29-01-2023,P04,Bengaluru,M014,CNC,Transmission,Night,767,294528,899,81,84,95,59.36
29-01-2023,P04,Bengaluru,M015,Lathe,Brakes,Morning,970,370540,991,98,95,96,77.16
29-01-2023,P04,Bengaluru,M016,Lathe,Transmission,Night,887,361896,988,79,83,97,53.98
29-01-2023,P04,Bengaluru,M017,Lathe,Engine Parts,Morning,911,355290,921,95,95,98,76.83
29-01-2023,P04,Bengaluru,M018,Milling,Engine Parts,Morning,1059,371709,1048,96,88,99,77.11
29-01-2023,P04,Bengaluru,M019,Press,Exhaust,Night,846,353628,833,77,82,97,53.8
29-01-2023,P04,Bengaluru,M020,CNC,Chassis,Morning,1053,418041,1108,95,89,98,82.04
29-01-2023,P04,Bengaluru,M021,Drill,Transmission,Night,741,304551,803,82,86,97,64.21
29-01-2023,P04,Bengaluru,M022,Lathe,Chassis,Night,854,298900,857,77,78,98,57.49
29-01-2023,P04,Bengaluru,M023,Press,Transmission,Night,1158,462042,1146,86,88,96,68.23
29-01-2023,P04,Bengaluru,M024,Press,Brakes,Night,871,332722,1017,89,84,95,66.43
29-01-2023,P04,Bengaluru,M025,Lathe,Engine Parts,Night,943,344195,1016,85,82,97,61.71
29-01-2023,P05,Delhi,M001,Grinder,Exhaust,Night,879,324351,935,89,88,98,63.32
29-01-2023,P05,Delhi,M002,Drill,Exhaust,Night,763,285362,808,88,78,98,59.34
29-01-2023,P05,Delhi,M003,Lathe,Suspension,Morning,854,302316,831,85,87,99,71.79
29-01-2023,P05,Delhi,M004,Drill,Chassis,Night,843,339729,992,85,89,97,67.92
29-01-2023,P05,Delhi,M005,Drill,Suspension,Night,772,309572,800,83,80,96,53.17
29-01-2023,P05,Delhi,M006,Milling,Exhaust,Morning,978,395112,1101,98,97,97,81.82
29-01-2023,P05,Delhi,M007,Grinder,Transmission,Night,831,323259,837,85,78,96,51.07
29-01-2023,P05,Delhi,M008,Grinder,Chassis,Night,945,335475,999,88,81,96,63.85
29-01-2023,P05,Delhi,M009,CNC,Suspension,Morning,941,343465,1064,93,94,99,76.25
29-01-2023,P05,Delhi,M010,Grinder,Brakes,Morning,808,293304,851,97,94,96,70.82
29-01-2023,P05,Delhi,M011,Milling,Exhaust,Morning,789,276939,852,97,95,99,84.49
29-01-2023,P05,Delhi,M012,CNC,Transmission,Morning,1151,438531,1142,94,93,98,78.18
29-01-2023,P05,Delhi,M013,Milling,Brakes,Night,1001,380380,1165,77,86,98,52.79
29-01-2023,P05,Delhi,M014,Milling,Brakes,Night,1021,399211,1097,81,90,96,61.08
29-01-2023,P05,Delhi,M015,Grinder,Exhaust,Night,959,402780,979,90,84,95,63.07
29-01-2023,P05,Delhi,M016,CNC,Chassis,Night,736,285568,827,87,86,98,61.16
29-01-2023,P05,Delhi,M017,Grinder,Chassis,Morning,794,281076,820,98,85,97,73.19
